Time;Latitude;Longitude;Accuracy;Cell ID;LAC;MCC;MNC;Color;Signal Strength;Type;
2014-08-29 18-53-00;45.0477194;7.6716271;36;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-53-06;45.04743613;7.67349478;14;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-53-11;45.04736318;7.6739165;15;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-53-21;45.04715787;7.67471975;15;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-53-26;45.04711515;7.67485847;14;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-53-34;45.0477194;7.6716271;36;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-54-28;45.04714948;7.67560304;37;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-54-33;45.04717034;7.67577595;17;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-54-34;45.0477194;7.6716271;36;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-54-38;45.04725595;7.67582729;22;17352;13041;222;88;#ffaa00;-93;UMTS;
2014-08-29 18-54-51;45.0477194;7.6716271;36;33394;13041;222;88;#ffcc00;-89;UMTS;
2014-09-01 15-30-03;45.0643113;7.6619128;21;142051-7;12232;222;88;#ffaa00;-106;LTE;

